owner/repo,score,risk,velocity,responsiveness,community,freshness,trust,social,signals,expectedRisk,expectedScoreRange,match,error
cdnjs/cdnjs,24,critical,0,5,4,5,4,6,No commits in the last 219 days | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No releases published | No SECURITY.md found | Financially supported via GitHub Sponsors or Open Collective | GitHub Discussions enabled on this repository | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,high,10-35,true,
handlebars-lang/handlebars.js,45,high,3,5,10,14,4,9,"Commit velocity down 85% over the last 30 days | No FUNDING.yml found | 4 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | 📦 34.8M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",high,30-55,true,
winstonjs/winston,19,critical,0,0,6,6,4,3,"No commits in the last 151 days | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | Issues left unanswered for 263 days on average | No FUNDING.yml found | 11 open ""help wanted"" issues — community contributions welcome | 📦 21.6M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",high,15-40,true,
nodeca/js-yaml,31,critical,5,0,8,11,4,3,Critical bus factor: only 1 active contributor in the last 30 days | Issues left unanswered for 1223 days on average | No releases published | No SECURITY.md found | No FUNDING.yml found | 📦 211.1M weekly npm downloads | Reduced weight: responsiveness and trust adjusted for declining activity,high,15-40,true,
isaacs/rimraf,19,critical,0,0,4,8,4,3,No commits in the last 63 days | Commit velocity down 100% over the last 30 days | No human commits in the last 30 days — maintainer may have stepped back | Single maintainer risk: one contributor made 100% of commits in the last 90 days | Issues left unanswered for 416 days on average | No releases published | No SECURITY.md found | No FUNDING.yml found | 📦 128.4M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,high,15-40,true,
jprichardson/node-fs-extra,50,high,18,0,10,11,4,7,Issues left unanswered for 79 days on average | No releases published | No SECURITY.md found | No FUNDING.yml found | 📦 167.9M weekly npm downloads,high,30-60,true,
breejs/bree,28,critical,0,5,4,8,4,7,"No commits in the last 79 days | No human commits in the last 30 days — maintainer may have stepped back | Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | 3 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | 📦 39k weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",high,15-40,true,
agenda/agenda,66,medium,15,12,10,15,7,7,No FUNDING.yml found | GitHub Discussions enabled on this repository,high,40-70,true,
OptimalBits/bull,27,critical,0,5,6,2,4,10,"No commits in the last 175 days | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No release in the last 16 months | No SECURITY.md found | No FUNDING.yml found | README signals maintenance mode — no new features, bug-fixes or security patches only | Active community platform detected (Discord or Slack) | GitHub Discussions enabled on this repository | 📦 1.4M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",high,15-40,true,
socketio/engine.io,11,critical,0,5,6,0,0,0,No commits in the last 22 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No release in the last 22 months | No license detected | No SECURITY.md found | No FUNDING.yml found | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,high,15-45,false,
Automattic/mongoose,61,medium,8,12,13,15,7,6,Commit velocity down 54% over the last 30 days | Maintainers very responsive (< 24h average) | GitHub Discussions enabled on this repository | 📦 4.8M weekly npm downloads | Reduced weight: responsiveness and trust adjusted for declining activity,medium,45-75,true,
node-fetch/node-fetch,23,critical,0,0,6,0,4,13,"No commits in the last 33 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | Issues left unanswered for 292 days on average | No release in the last 33 months | Active community platform detected (Discord or Slack) | Financially supported via GitHub Sponsors or Open Collective | 6 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | 📦 131.4M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",high,15-40,true,
tj/co,19,critical,0,5,6,4,4,0,No commits in the last 116 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No releases published | No SECURITY.md found | No FUNDING.yml found | 📦 37.6M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,high,15-40,true,
shelljs/shelljs,55,high,10,12,10,9,7,7,"No FUNDING.yml found | README explicitly marks this project as deprecated | 11 open ""help wanted"" issues — community contributions welcome | 📦 10.8M weekly npm downloads",high,40-65,true,
sindresorhus/got,62,medium,25,0,8,15,4,10,Single maintainer risk: one contributor made 100% of commits in the last 90 days | Critical bus factor: only 1 active contributor in the last 30 days | Issues left unanswered for 395 days on average | No SECURITY.md found | No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 32.8M weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators,medium,45-75,true,
yargs/yargs,28,critical,0,5,6,7,4,6,"No commits in the last 74 days | No human commits in the last 30 days — maintainer may have stepped back | Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | 23 open ""help wanted"" issues — community contributions welcome | 📦 177.2M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",high,15-45,true,
fastify/fastify,91,low,21,20,15,15,7,13,11 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No FUNDING.yml found | Active community platform detected (Discord or Slack) | Financially supported via GitHub Sponsors or Open Collective | GitHub Discussions enabled on this repository | 📦 6.7M weekly npm downloads,low,70-95,true,
taskforcesh/bullmq,89,low,25,17,13,15,4,15,"Commit velocity up 288% over the last 30 days | No SECURITY.md found | No FUNDING.yml found | Active community platform detected (Discord or Slack) | Financially supported via GitHub Sponsors or Open Collective | 1 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | 📦 4.8M weekly npm downloads",low,75-100,true,
pinojs/pino,76,medium,15,20,10,14,7,10,"Maintainers very responsive (< 24h average) | No FUNDING.yml found | 5 open ""help wanted"" issues — community contributions welcome | 📦 28.6M weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators",low,65-90,true,
ianstormtaylor/slate,65,medium,10,20,10,14,4,7,Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 3 weekly npm downloads,medium,45-75,true,
ai/nanoid,87,low,25,20,8,14,10,10,Maintainers very responsive (< 24h average) | GitHub Discussions enabled on this repository | 📦 164.5M weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators,low,70-95,true,
colinhacks/zod,93,low,25,20,13,15,10,10,Commit velocity up 2120% over the last 30 days | 42 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | Active community platform detected (Discord or Slack) | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators,low,80-100,true,
unjs/nitro,85,low,21,20,15,15,4,10,12 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 404k weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators,low,70-95,true,
pmndrs/zustand,74,medium,21,10,11,15,7,10,No SECURITY.md found | Active community platform detected (Discord or Slack) | GitHub Discussions enabled on this repository | 📦 32.4M weekly npm downloads,low,55-80,true,
sindresorhus/execa,22,critical,0,5,4,6,4,3,"No commits in the last 98 days | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | 2 open ""help wanted"" issues — community contributions welcome | 📦 124.5M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",medium,40-75,false,
paulmillr/noble-curves,82,low,25,20,10,14,7,6,Commit velocity up 620% over the last 30 days | Single maintainer risk: one contributor made 87% of commits in the last 90 days | Maintainers very responsive (< 24h average) | No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 17.7M weekly npm downloads,low,70-95,true,
lukeed/clsx,10,critical,0,5,1,0,4,0,No commits in the last 24 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No release in the last 24 months | No SECURITY.md found | 📦 91.2M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,medium,40-75,false,
unifiedjs/unified,39,high,5,12,6,6,4,6,Critical bus factor: only 1 active contributor in the last 30 days | Maintainers very responsive (< 24h average) | No release in the last 22 months | No SECURITY.md found | No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 33.1M weekly npm downloads | Reduced weight: responsiveness and trust adjusted for declining activity,high,25-55,true,
remarkjs/remark,23,critical,0,5,4,4,4,6,No commits in the last 72 days | No human commits in the last 30 days — maintainer may have stepped back | Maintainers very responsive (< 24h average) | No release in the last 32 months | No SECURITY.md found | No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 3.7M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,high,15-45,true,
svg/svgo,65,medium,10,17,10,14,4,10,"No SECURITY.md found | No FUNDING.yml found | Active community platform detected (Discord or Slack) | 2 open ""help wanted"" issues — community contributions welcome | 📦 29.8M weekly npm downloads",medium,50-75,true,
postcss/postcss,90,low,25,20,10,15,10,10,Commit velocity up 167% over the last 30 days | Single maintainer risk: one contributor made 94% of commits in the last 90 days | Maintainers very responsive (< 24h average) | Financially supported via GitHub Sponsors or Open Collective | GitHub Discussions enabled on this repository | 📦 216.1M weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators,low,80-100,true,
biomejs/biome,87,low,25,20,13,15,4,10,Commit velocity up 121% over the last 30 days | 26 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | Financially supported via GitHub Sponsors or Open Collective | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators,low,80-100,true,
withastro/astro,92,low,25,20,15,15,7,10,"Commit velocity up 95% over the last 30 days | 51 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No FUNDING.yml found | Financially supported via GitHub Sponsors or Open Collective | 1 open ""help wanted"" issues — community contributions welcome | 📦 2k weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators",low,85-100,true,
solidjs/solid,37,high,3,5,6,6,4,13,Commit velocity down 80% over the last 30 days | Critical bus factor: only 1 active contributor in the last 30 days | No release in the last 19 months | No SECURITY.md found | Active community platform detected (Discord or Slack) | Financially supported via GitHub Sponsors or Open Collective | GitHub Discussions enabled on this repository | 📦 2.1M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,high,30-60,true,
vitest-dev/vitest,91,low,21,20,15,15,10,10,"20 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | 1 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators",low,85-100,true,
evanw/esbuild,21,critical,0,5,4,8,4,0,No commits in the last 35 days | Commit velocity down 100% over the last 30 days | No human commits in the last 30 days — maintainer may have stepped back | Single maintainer risk: one contributor made 94% of commits in the last 90 days | No SECURITY.md found | No FUNDING.yml found | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,high,15-45,true,
nrwl/nx,82,low,25,10,15,15,7,10,"Commit velocity up 137% over the last 30 days | 35 active contributors in the last 30 days | No FUNDING.yml found | 11 open issues labeled ""stale"" — limited maintenance bandwidth | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators",low,70-95,true,
turbot/steampipe,33,critical,3,5,6,14,4,1,"Commit velocity down 82% over the last 30 days | Critical bus factor: only 1 active contributor in the last 30 days | No SECURITY.md found | No FUNDING.yml found | 1 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",high,25-55,true,
openai/openai-node,76,medium,18,17,10,14,7,10,No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 20.5M weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators,low,65-90,true,
anthropics/anthropic-sdk-typescript,52,high,5,12,8,14,7,6,Critical bus factor: only 1 active contributor in the last 30 days | No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 17.9M weekly npm downloads | Reduced weight: responsiveness and trust adjusted for declining activity,low,65-90,false,
stripe/stripe-node,77,medium,25,17,10,15,4,6,No SECURITY.md found | No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 10.4M weekly npm downloads,low,65-90,true,
vercel/ai,82,low,25,10,15,15,7,10,Commit velocity up 249% over the last 30 days | 29 active contributors in the last 30 days | No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 3 weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators,low,70-95,true,
honojs/hono,70,medium,15,12,11,15,7,10,No SECURITY.md found | Active community platform detected (Discord or Slack) | GitHub Discussions enabled on this repository | 📦 34.7M weekly npm downloads,low,60-85,true,
Effect-TS/effect,80,low,21,17,13,15,4,10,11 active contributors in the last 30 days | No SECURITY.md found | No FUNDING.yml found | Active community platform detected (Discord or Slack) | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators,low,70-95,true,
electric-sql/pglite,53,high,8,12,8,15,4,6,"Commit velocity down 68% over the last 30 days | Single maintainer risk: one contributor made 83% of commits in the last 90 days | Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | 1 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | Reduced weight: responsiveness and trust adjusted for declining activity",medium,45-75,true,
oxc-project/oxc,83,low,25,10,13,15,10,10,44 active contributors in the last 30 days | Active community platform detected (Discord or Slack) | Financially supported via GitHub Sponsors or Open Collective | GitHub Discussions enabled on this repository | 📦 1k weekly npm downloads,low,80-100,true,
rust-lang/rust,92,low,25,20,15,15,7,10,Commit velocity up 3148% over the last 30 days | 79 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No SECURITY.md found | ✅ Large project baseline: social score floored due to established community indicators,low,85-100,true,
golang/go,88,low,25,20,15,11,7,10,"Commit velocity up 86% over the last 30 days | 57 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No releases published | No FUNDING.yml found | 807 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators",low,80-100,true,
python/cpython,86,low,25,20,13,11,7,10,Commit velocity up 950% over the last 30 days | 154 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No releases published | No FUNDING.yml found | ✅ Large project baseline: social score floored due to established community indicators,low,80-100,true,
tensorflow/tensorflow,82,low,25,10,15,15,7,10,"97 active contributors in the last 30 days | No FUNDING.yml found | 24 open issues labeled ""stale"" — limited maintenance bandwidth | ✅ Large project baseline: social score floored due to established community indicators",low,70-95,true,
kubernetes/kubernetes,92,low,25,20,15,15,7,10,"Commit velocity up 3148% over the last 30 days | 84 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No FUNDING.yml found | 142 open ""help wanted"" issues — community contributions welcome | ✅ Large project baseline: social score floored due to established community indicators",low,85-100,true,
prometheus/prometheus,82,low,15,20,15,15,7,10,"27 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No FUNDING.yml found | 129 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators",low,80-100,true,
hashicorp/terraform,52,high,8,12,13,15,4,0,Commit velocity down 53% over the last 30 days | Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | Reduced weight: responsiveness and trust adjusted for declining activity,high,40-70,true,
elastic/elasticsearch,89,low,25,20,15,15,4,10,"115 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | 83 open ""help wanted"" issues — community contributions welcome | ✅ Large project baseline: social score floored due to established community indicators",low,80-100,true,
apache/kafka,69,medium,21,10,13,11,4,10,59 active contributors in the last 30 days | No releases published | No SECURITY.md found | No FUNDING.yml found | ✅ Large project baseline: social score floored due to established community indicators,low,60-85,true,
redis/redis,88,low,21,20,15,15,7,10,22 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No FUNDING.yml found | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators,low,80-100,true,
excalidraw/excalidraw,73,medium,15,10,13,15,7,13,"No SECURITY.md found | Active community platform detected (Discord or Slack) | Financially supported via GitHub Sponsors or Open Collective | 4 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | 📦 1 weekly npm downloads",low,70-95,true,
shadcn-ui/taxonomy,37,high,5,10,8,10,4,0,Critical bus factor: only 1 active contributor in the last 30 days | No releases published | No SECURITY.md found | No FUNDING.yml found | 📦 19 weekly npm downloads | Reduced weight: responsiveness and trust adjusted for declining activity,high,15-45,true,
t3-oss/create-t3-app,24,critical,0,5,6,5,4,4,No commits in the last 145 days | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No SECURITY.md found | No FUNDING.yml found | Active community platform detected (Discord or Slack) | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,high,15-50,true,
calcom/cal.com,67,medium,8,12,15,15,7,10,"Commit velocity down 56% over the last 30 days | 18 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No FUNDING.yml found | 221 open issues labeled ""stale"" — limited maintenance bandwidth | 📦 2 weekly npm downloads | Reduced weight: responsiveness and trust adjusted for declining activity | ✅ Large project baseline: social score floored due to established community indicators",low,60-85,true,
